id,submitdate,lastpage,startlanguage,FYllatus,FYllatus[other],FKurbus,FKurbus[other],FHirm,FHirm[other],FViha,FViha[other],FVastikus,FVastikus[other],FRoom,FRoom[other],R1Kurb,R1Kurb[other],R1Hirm,R1Hirm[other],R2Yllatunud,R2Yllatunud[other],R2Onnelik,R2Onnelik[other],R1Kuri,R1Kuri[other],R1Neutraalne,R1Neutraalne[other],R2Keskendunud,R2Keskendunud[other],R2Keskendunud2,R2Keskendunud2[other],R2Kurb,R2Kurb[other],R2Neutraalne,R2Neutraalne[other],R2Segaduses,R2Segaduses[other],R2Yllatunud2,R2Yllatunud2[other],R3Roomus,R3Roomus[other],R3Kurb,R3Kurb[other],R3Yllatunud,R3Yllatunud[other],R3Segaduses,R3Segaduses[other],K2,K2[other],R4Roomus,R4Roomus[other],R4Kuri,R4Kuri[other],R4Neutraalne,R4Neutraalne[other],YStopping,YStopping[other],Y2Stop,Y2Stop[other],Y4AnnabTeed,Y4AnnabTeed[other],Y6Soidab,Y6Soidab[other],YGoAhead,YGoAhead[other],YAnnabTeedPeatunud,YAnnabTeedPeatunud[other],Y5HakkabSoitma,Y5HakkabSoitma[other],Y3Yletee,Y3Yletee[other],Sugu,Vanus,Igap2evaneSuhtlus,Email,Valimised
45,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,üllatunud,,hirm,,viha,,viha,,segadustunne,,neutraalne,,kurbus,,kurbus,,neutraalne,,segadustunne,,üllatunud,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,viha,,keskendunud,,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,21,Jah,Jah,kasutasin e-valimiste võimalust
46,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,segadustunne,,vastikus,,rõõm,,kurbus,,üllatunud,,hirm,,keskendunud,,viha,,segadustunne,,neutraalne,,neutraalne,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,neutraalne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,23,Jah,Jah,kasutasin e-valimiste võimalust
47,01-01-80 00:00,3,et,üllatunud,,kurbus,,vastikus,,segadustunne,,vastikus,,rõõm,,kurbus,,hirm,,üllatunud,,vastikus,,viha,,üllatunud,,neutraalne,,hirm,,kurbus,,keskendunud,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,hirm,,rõõm,,viha,,segadustunne,,"Tablool kujutatu viitab, et sõiduk peatub.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,22,Jah,Jah,kasutasin e-valimiste võimalust
48,01-01-80 00:00,3,et,üllatunud,,kurbus,,vastikus,,viha,,vastikus,,rõõm,,kurbus,,üllatunud,,segadustunne,,rõõm,,viha,,segadustunne,,neutraalne,,kurbus,,kurbus,,üllatunud,,segadustunne,,segadustunne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,viha,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,21,Jah,Jah,kasutasin e-valimiste võimalust
49,01-01-80 00:00,3,et,segadustunne,,muu,Kurnatus,muu,Ehmatus,viha,,vastikus,,rõõm,,kurbus,,üllatunud,,keskendunud,,vastikus,,viha,,segadustunne,,neutraalne,,kurbus,,kurbus,,neutraalne,,segadustunne,,üllatunud,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,vastikus,,segadustunne,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,20,Jah,Jah,kasutasin e-valimiste võimalust
50,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,üllatunud,,segadustunne,,viha,,segadustunne,,neutraalne,,kurbus,,kurbus,,neutraalne,,kurbus,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,ei oska öelda,,segadustunne,,ei oska öelda,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,24,Jah,Jah,kasutasin e-valimiste võimalust
51,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,muu,tüdinenud,rõõm,,kurbus,,üllatunud,,üllatunud,,viha,,viha,,segadustunne,,neutraalne,,muu,väsinud,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,ei oska öelda,,segadustunne,,kurbus,,ei oska öelda,,segadustunne,,üllatunud,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,21,Jah,Jah,käisin valimisjaoskonnas
52,01-01-80 00:00,3,et,üllatunud,,muu,väsimus,hirm,,viha,,vastikus,,rõõm,,kurbus,,üllatunud,,neutraalne,,rõõm,,viha,,segadustunne,,neutraalne,,kurbus,,vastikus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,vastikus,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,21,Jah,Jah,kasutasin e-valimiste võimalust
53,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,neutraalne,,neutraalne,,keskendunud,,viha,,segadustunne,,neutraalne,,kurbus,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,segadustunne,,segadustunne,,kurbus,,ei oska öelda,,ei oska öelda,,ei oska öelda,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,22,Jah,Jah,kasutasin e-valimiste võimalust
54,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,segadustunne,,üllatunud,,keskendunud,,viha,,üllatunud,,neutraalne,,kurbus,,muu,pettumus,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,üllatunud,,kurbus,,segadustunne,,ei oska öelda,,ei oska öelda,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,24,Jah,Jah,käisin valimisjaoskonnas
55,01-01-80 00:00,3,et,üllatunud,,muu,Not-this-shit-again tunne,muu,WTF-tunne,muu,Püüdes-outletis-protsenti-hinnast-arvutada tunne,muu,Who-farted,rõõm,,kurbus,,rõõm,,neutraalne,,segadustunne,,viha,,üllatunud,,neutraalne,,segadustunne,,kurbus,,neutraalne,,üllatunud,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,28,Jah,Jah,kasutasin e-valimiste võimalust
56,01-01-80 00:00,3,et,segadustunne,,muu,Väsimus,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,neutraalne,,keskendunud,,viha,,segadustunne,,neutraalne,,muu,Väsimus,kurbus,,keskendunud,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,üllatunud,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,Naine,26,Jah,Jah,kasutasin e-valimiste võimalust
57,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,muu,murelik,üllatunud,,keskendunud,,viha,,segadustunne,,neutraalne,,keskendunud,,kurbus,,üllatunud,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,viha,,neutraalne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et projektsioon võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,Naine,24,Jah,Jah,kasutasin e-valimiste võimalust
58,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,üllatunud,,keskendunud,,viha,,segadustunne,,viha,,kurbus,,kurbus,,üllatunud,,segadustunne,,viha,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,ei oska öelda,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,45,Jah,Jah,kasutasin e-valimiste võimalust
59,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,kurbus,,üllatunud,,vastikus,,viha,,segadustunne,,neutraalne,,keskendunud,,kurbus,,üllatunud,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,viha,,neutraalne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,22,Jah,Jah,kasutasin e-valimiste võimalust
60,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,segadustunne,,vastikus,,rõõm,,kurbus,,neutraalne,,üllatunud,,segadustunne,,viha,,üllatunud,,neutraalne,,kurbus,,kurbus,,keskendunud,,segadustunne,,keskendunud,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,21,Jah,Jah,kasutasin e-valimiste võimalust
61,01-01-80 00:00,3,et,muu,Ehmunud,kurbus,,segadustunne,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,üllatunud,,viha,,viha,,üllatunud,,üllatunud,,kurbus,,kurbus,,üllatunud,,segadustunne,,üllatunud,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,hirm,,vastikus,,neutraalne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et projektsioon võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Tablool kujutatu viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et projektsioon võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,Mees,19,Jah,Jah,kasutasin e-valimiste võimalust
62,01-01-80 00:00,3,et,segadustunne,,muu,pettumus,hirm,,keskendunud,,vastikus,,rõõm,,kurbus,,üllatunud,,rõõm,,muu,kuri,viha,,neutraalne,,neutraalne,,kurbus,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,vastikus,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,20,Jah,Jah,kasutasin e-valimiste võimalust
63,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,neutraalne,,neutraalne,,neutraalne,,neutraalne,,viha,,üllatunud,,keskendunud,,kurbus,,kurbus,,keskendunud,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,ei oska öelda,,segadustunne,,ei oska öelda,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,Naine,19,Jah,Jah,kasutasin e-valimiste võimalust
64,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,üllatunud,,rõõm,,viha,,üllatunud,,keskendunud,,keskendunud,,kurbus,,neutraalne,,kurbus,,neutraalne,,rõõm,,kurbus,,ei oska öelda,,muu,teadmatus,kurbus,,rõõm,,segadustunne,,neutraalne,,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Arvan, et projektsioon võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,Naine,20,Jah,Jah,käisin valimisjaoskonnas
65,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,keskendunud,,vastikus,,rõõm,,kurbus,,hirm,,neutraalne,,rõõm,,viha,,segadustunne,,viha,,keskendunud,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,neutraalne,,neutraalne,,"Tablool kujutatu viitab, et sõiduk peatub.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,muu,Auto hakkab sooritama vasakpööret.,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,20,Jah,Jah,kasutasin e-valimiste võimalust
67,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,rõõm,,neutraalne,,rõõm,,viha,,segadustunne,,neutraalne,,neutraalne,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Tablool kujutatu viitab, et sõiduk ei muuda oma tegutsemist ning jätkab oma sõitu samamoodi.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Naine,20,Jah,Jah,käisin valimisjaoskonnas
68,01-01-80 00:00,3,et,üllatunud,,kurbus,,hirm,,viha,,vastikus,,rõõm,,kurbus,,neutraalne,,üllatunud,,keskendunud,,viha,,üllatunud,,neutraalne,,keskendunud,,kurbus,,neutraalne,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,rõõm,,segadustunne,,segadustunne,,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Arvan, et tablool kujutatu võib olla informatsioon jalakäijale, aga ma ei mõista selle tähendust.",,"Tablool kujutatu viitab, et sõiduk alustab kohe liikumist.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,31,Jah,Jah,kasutasin e-valimiste võimalust
69,01-01-80 00:00,3,et,muu,ehmatus (hirmu ja üllatuse segu),muu,Väsimus,muu,ehamtus,keskendunud,,vastikus,,rõõm,,kurbus,,muu,lootus,üllatunud,,rõõm,,viha,,üllatunud,,neutraalne,,muu,Väsimus,kurbus,,ei oska öelda,,segadustunne,,neutraalne,,rõõm,,kurbus,,üllatunud,,segadustunne,,kurbus,,ei oska öelda,,muu,Paha olla,muu,Rumalus,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk peatub.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tablool kujutatu viitab, et sõiduk annab mulle teed.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Tegu on dekoratiivse elemendiga, mis ei oma minu kui jalakäija jaoks mingit tähendust.",,"Projektsioon viitab, et sõiduk annab mulle teed.",,Mees,24,Jah,Jah,kasutasin e-valimiste võimalust
